timestamp,market,slug,side,entry_price,exit_price,entry_second,exit_second,reason,btc_at_entry,btc_at_exit,btc_ret_at_entry,btc_ret_at_exit,pnl_gross,pnl_net,fees,balance
2026-02-12T04:14:56.134561+00:00,"Bitcoin Up or Down - February 11, 11:00PM-11:15PM ET",btc-updown-15m-1770868800,DOWN,0.6500,0.6200,322,896,RESOLUTION,67502.69,67584.66,-0.001159,0.000054,-0.92,-1.72,0.80,42.38
2026-02-12T04:44:56.055564+00:00,"Bitcoin Up or Down - February 11, 11:30PM-11:45PM ET",btc-updown-15m-1770870600,UP,0.7400,0.5600,456,896,RESOLUTION,67288.10,67218.80,0.001092,0.000061,-4.86,-5.66,0.80,36.72
2026-02-12T05:00:28.221082+00:00,"Bitcoin Up or Down - February 11, 11:45PM-12:00AM ET",btc-updown-15m-1770871500,UP,0.5500,0.0000,335,928,RESOLUTION,67254.99,67004.89,0.000658,-0.003063,-20.00,-20.80,0.80,15.92
2026-02-12T05:29:56.201766+00:00,"Bitcoin Up or Down - February 12, 12:15AM-12:30AM ET",btc-updown-15m-1770873300,DOWN,0.7600,0.0200,300,896,RESOLUTION,66683.12,66874.48,-0.001421,0.001445,-19.47,-20.27,0.80,-4.36
2026-02-12T05:40:27.885645+00:00,"Bitcoin Up or Down - February 12, 12:30AM-12:45AM ET",btc-updown-15m-1770874200,UP,0.7900,0.9700,470,628,TAKE_PROFIT,66962.38,67011.81,0.001315,0.002054,4.56,3.76,0.80,-0.60
2026-02-12T05:59:55.535068+00:00,"Bitcoin Up or Down - February 12, 12:45AM-1:00AM ET",btc-updown-15m-1770875100,DOWN,0.6800,0.0300,321,896,RESOLUTION,67018.16,67124.61,-0.001024,0.000563,-19.12,-19.92,0.80,-20.52
2026-02-12T06:14:55.949253+00:00,"Bitcoin Up or Down - February 12, 1:00AM-1:15AM ET",btc-updown-15m-1770876000,DOWN,0.7700,0.2600,308,896,RESOLUTION,67046.29,67204.54,-0.001076,0.001282,-13.25,-14.05,0.80,-34.57
2026-02-12T06:37:32.999596+00:00,"Bitcoin Up or Down - February 12, 1:30AM-1:45AM ET",btc-updown-15m-1770877800,DOWN,0.7100,0.7700,300,453,RESOLUTION,67220.45,67208.11,-0.001047,-0.001230,1.69,0.89,0.80,0.89
2026-02-12T06:44:29.249585+00:00,"Bitcoin Up or Down - February 12, 1:30AM-1:45AM ET",btc-updown-15m-1770877800,DOWN,0.7500,0.9700,565,869,TAKE_PROFIT,67236.68,67231.15,-0.000806,-0.000888,5.87,5.07,0.80,5.07
2026-02-12T06:56:54.221349+00:00,"Bitcoin Up or Down - February 12, 1:45AM-2:00AM ET",btc-updown-15m-1770878700,DOWN,0.6100,0.9700,301,714,TAKE_PROFIT,67220.14,67123.36,-0.000405,-0.001845,11.80,11.00,0.80,16.07
2026-02-12T07:10:52.334323+00:00,"Bitcoin Up or Down - February 12, 2:00AM-2:15AM ET",btc-updown-15m-1770879600,DOWN,0.6800,0.9700,301,652,TAKE_PROFIT,67053.61,66958.08,-0.000562,-0.001986,8.53,7.73,0.80,23.80
2026-02-12T07:43:25.702898+00:00,"Bitcoin Up or Down - February 12, 2:30AM-2:45AM ET",btc-updown-15m-1770881400,DOWN,0.5900,0.9700,301,806,TAKE_PROFIT,67198.01,67150.73,-0.000293,-0.000997,12.88,12.08,0.80,35.88
2026-02-12T08:00:04.384978+00:00,"Bitcoin Up or Down - February 12, 2:45AM-3:00AM ET",btc-updown-15m-1770882300,DOWN,0.5400,0.0100,301,904,RESOLUTION,67117.72,67209.63,-0.000445,0.000924,-19.63,-20.43,0.80,15.45
2026-02-12T08:14:55.690097+00:00,"Bitcoin Up or Down - February 12, 3:00AM-3:15AM ET",btc-updown-15m-1770883200,DOWN,0.5600,0.1000,305,896,RESOLUTION,67190.85,67241.03,-0.000279,0.000467,-16.43,-17.23,0.80,-1.78
2026-02-12T09:14:55.582546+00:00,"Bitcoin Up or Down - February 12, 4:00AM-4:15AM ET",btc-updown-15m-1770886800,DOWN,0.6300,0.0300,301,896,RESOLUTION,67091.13,67181.89,-0.000745,0.000607,-19.05,-19.85,0.80,-21.63
2026-02-12T14:29:55.861015+00:00,"Bitcoin Up or Down - February 12, 9:15AM-9:30AM ET",btc-updown-15m-1770905700,DOWN,0.6000,0.8100,599,896,RESOLUTION,67972.20,67984.57,-0.000648,-0.000466,7.00,6.20,0.80,6.20
2026-02-12T14:41:08.000669+00:00,"Bitcoin Up or Down - February 12, 9:30AM-9:45AM ET",btc-updown-15m-1770906600,DOWN,0.3100,0.5700,375,668,BTC_REVERSAL,67942.67,68043.79,-0.000640,0.000847,16.77,15.97,0.80,22.17
2026-02-12T14:59:55.094057+00:00,"Bitcoin Up or Down - February 12, 9:45AM-10:00AM ET",btc-updown-15m-1770907500,UP,0.5900,0.9000,301,895,RESOLUTION,67696.00,67676.00,0.000537,0.000241,10.51,9.71,0.80,31.88
2026-02-12T15:25:17.725769+00:00,"Bitcoin Up or Down - February 12, 10:15AM-10:30AM ET",btc-updown-15m-1770909300,UP,0.7300,0.9700,303,618,TAKE_PROFIT,67586.48,67831.58,0.002529,0.006164,6.58,5.78,0.80,5.78
2026-02-12T16:00:05.689043+00:00,"Bitcoin Up or Down - February 12, 10:45AM-11:00AM ET",btc-updown-15m-1770911100,UP,0.6400,0.0000,317,906,RESOLUTION,67495.28,67082.49,0.001408,-0.004717,-20.00,-20.80,0.80,-15.02
2026-02-12T16:15:05.692391+00:00,"Bitcoin Up or Down - February 12, 11:00AM-11:15AM ET",btc-updown-15m-1770912000,UP,0.5200,0.0000,304,906,RESOLUTION,67161.94,66507.35,0.001184,-0.008574,-20.00,-20.80,0.80,-35.82
